species_id	count_reads	coverage	relative_abundance	XCA_036
Wolbachia_endosymbiont_54269	0	0.0	0.0	XCA_036
Actinomyces_neuii_62451	0	0.0	0.0	XCA_036
Bacteroidetes_bacterium_62594	0	0.0	0.0	XCA_036
Prevotella_sp_61856	0	0.0	0.0	XCA_036
Rhizobium_sp_60753	0	0.0	0.0	XCA_036
Terrisporobacter_sp_60894	0	0.0	0.0	XCA_036
Rhizobium_sp_60754	0	0.0	0.0	XCA_036
Rhizobium_sp_60755	0	0.0	0.0	XCA_036
Amycolatopsis_halophila_61910	0	0.0	0.0	XCA_036
Myroides_injenensis_58332	0	0.0	0.0	XCA_036
Eikenella_corrodens_58486	0	0.0	0.0	XCA_036
Granulicoccus_phenolivorans_58872	0	0.0	0.0	XCA_036
Viridibacillus_arenosi_59621	0	0.0	0.0	XCA_036
Acinetobacter_calcoaceticus_59553	0	0.0	0.0	XCA_036
Epilithonimonas_sp_59668	0	0.0	0.0	XCA_036
Herbaspirillum_seropedicae_62261	0	0.0	0.0	XCA_036
Streptococcus_parasanguinis_58487	0	0.0	0.0	XCA_036
Clostridiaceae_bacterium_60908	0	0.0	0.0	XCA_036
Bacillus_selenatarsenatis_60096	0	0.0	0.0	XCA_036
Campylobacter_sp_59757	0	0.0	0.0	XCA_036
Bacillus_niacini_62369	0	0.0	0.0	XCA_036
Rheinheimera_perlucida_59023	0	0.0	0.0	XCA_036
Staphylococcus_aureus_56630	0	0.0	0.0	XCA_036
Nakamurella_multipartita_61612	0	0.0	0.0	XCA_036
Bradyrhizobium_japonicum_60045	0	0.0	0.0	XCA_036
Prevotella_sp_59946	0	0.0	0.0	XCA_036
Pseudonocardia_asaccharolytica_59012	0	0.0	0.0	XCA_036
Kurthia_sp_60133	0	0.0	0.0	XCA_036
Sphingobium_sp_59212	0	0.0	0.0	XCA_036
Ruminococcus_gauvreauii_59033	0	0.0	0.0	XCA_036
Desulfatirhabdium_butyrativorans_58792	0	0.0	0.0	XCA_036
Bordetella_petrii_62572	0	0.0	0.0	XCA_036
Bordetella_petrii_62571	0	0.0	0.0	XCA_036
Chryseobacterium_daeguense_58752	0	0.0	0.0	XCA_036
Bifidobacterium_pullorum_60518	0	0.0	0.0	XCA_036
Actinomyces_johnsonii_57359	0	0.0	0.0	XCA_036
Phascolarctobacterium_succinatutens_61948	0	0.0	0.0	XCA_036
Streptomyces_sp_52691	0	0.0	0.0	XCA_036
Curtobacterium_sp_62628	0	0.0	0.0	XCA_036
Gamma_proteobacterium_58329	0	0.0	0.0	XCA_036
Thioalkalivibrio_sp_62239	0	0.0	0.0	XCA_036
Methylobacter_luteus_58553	0	0.0	0.0	XCA_036
Marinobacter_lipolyticus_60093	0	0.0	0.0	XCA_036
Corynebacterium_capitovis_58769	0	0.0	0.0	XCA_036
Porphyromonas_catoniae_58136	0	0.0	0.0	XCA_036
Hyphomonas_sp_59485	0	0.0	0.0	XCA_036
Prevotella_sp_59619	0	0.0	0.0	XCA_036
Nocardia_sp_60636	0	0.0	0.0	XCA_036
Thioalkalivibrio_sp_44152	0	0.0	0.0	XCA_036
Leptospira_alstoni_59577	0	0.0	0.0	XCA_036
Paludibacterium_yongneupense_58984	0	0.0	0.0	XCA_036
Parvimonas_micra_57958	0	0.0	0.0	XCA_036
Spiroplasma_chrysopicola_59873	0	0.0	0.0	XCA_036
Aeromonas_schubertii_62036	0	0.0	0.0	XCA_036
Rhodospirillales_bacterium_60287	0	0.0	0.0	XCA_036
Scytonema_hofmanni_60675	0	0.0	0.0	XCA_036
Mycobacterium_sp_56261	0	0.0	0.0	XCA_036
Streptococcus_oralis_59303	0	0.0	0.0	XCA_036
Legionella_shakespearei_58910	0	0.0	0.0	XCA_036
Acidocella_facilis_57188	0	0.0	0.0	XCA_036
Deinococcus_misasensis_58788	0	0.0	0.0	XCA_036
Leisingera_methylohalidivorans_62704	0	0.0	0.0	XCA_036
Mastigocoleus_testarum_61352	0	0.0	0.0	XCA_036
Marinomonas_sp_61203	0	0.0	0.0	XCA_036
Exiguobacterium_marinum_60363	0	0.0	0.0	XCA_036
Nonlabens_sediminis_61236	0	0.0	0.0	XCA_036
Chlamydophila_pneumoniae_54194	0	0.0	0.0	XCA_036
Ruania_albidiflava_59028	0	0.0	0.0	XCA_036
Virgibacillus_sp_61463	0	0.0	0.0	XCA_036
Brevibacillus_agri_54300	0	0.0	0.0	XCA_036
Rubrivivax_gelatinosus_62645	0	0.0	0.0	XCA_036
Rhodococcus_fascians_57101	0	0.0	0.0	XCA_036
Granulicella_mallensis_62118	0	0.0	0.0	XCA_036
Thioalkalimicrobium_cyclicum_62197	0	0.0	0.0	XCA_036
Mycobacterium_mageritense_59501	0	0.0	0.0	XCA_036
Marmoricola_aequoreus_61438	0	0.0	0.0	XCA_036
Gamma_proteobacterium_59327	0	0.0	0.0	XCA_036
Desulfovibrio_longus_58817	0	0.0	0.0	XCA_036
Nitrosococcus_halophilus_61599	0	0.0	0.0	XCA_036
Weeksella_virosa_62366	0	0.0	0.0	XCA_036
Prochlorococcus_marinus_47596	0	0.0	0.0	XCA_036
Acetobacterium_dehalogenans_58472	0	0.0	0.0	XCA_036
Thermobaculum_terrenum_61722	0	0.0	0.0	XCA_036
Streptomyces_sp_61316	0	0.0	0.0	XCA_036
Clostridium_straminisolvens_59990	0	0.0	0.0	XCA_036
Bacillus_coagulans_56287	0	0.0	0.0	XCA_036
Desulfovibrio_gigas_44737	0	0.0	0.0	XCA_036
Coraliomargarita_akajimensis_61869	0	0.0	0.0	XCA_036
Asticcacaulis_biprosthecum_62188	0	0.0	0.0	XCA_036
Thioalkalivibrio_sulfidophilus_61437	0	0.0	0.0	XCA_036
Porphyromonas_crevioricanis_52672	0	0.0	0.0	XCA_036
Pseudomonas_corrugata_60087	0	0.0	0.0	XCA_036
Halothermothrix_orenii_61355	0	0.0	0.0	XCA_036
Pseudomonas_fluorescens_60997	0	0.0	0.0	XCA_036
Chlorobium_limicola_61129	0	0.0	0.0	XCA_036
Dictyoglomus_turgidum_61679	0	0.0	0.0	XCA_036
Bacillus_thermoamylovorans_61325	0	0.0	0.0	XCA_036
Microbacterium_sp_60186	0	0.0	0.0	XCA_036
Raphidiopsis_brookii_61739	0	0.0	0.0	XCA_036
Micromonospora_aurantiaca_58255	0	0.0	0.0	XCA_036
Cupriavidus_necator_59551	0	0.0	0.0	XCA_036
Cycloclasticus_pugetii_55016	0	0.0	0.0	XCA_036
Alpha_proteobacterium_61272	0	0.0	0.0	XCA_036
Lactobacillus_curieae_59201	0	0.0	0.0	XCA_036
Phaeobacter_gallaeciensis_57642	0	0.0	0.0	XCA_036
Bartonella_birtlesii_51815	0	0.0	0.0	XCA_036
Streptomyces_sp_55166	0	0.0	0.0	XCA_036
Streptococcus_lutetiensis_58501	0	0.0	0.0	XCA_036
Streptococcus_mitis_58304	0	0.0	0.0	XCA_036
Comamonas_testosteroni_57821	0	0.0	0.0	XCA_036
Prevotella_marshii_50397	0	0.0	0.0	XCA_036
Arthrobacter_sp_59181	0	0.0	0.0	XCA_036
Tenacibaculum_maritimum_60216	0	0.0	0.0	XCA_036
Sodalis_glossinidius_61296	0	0.0	0.0	XCA_036
Streptomyces_novaecaesareae_33739	0	0.0	0.0	XCA_036
Rhizobium_sp_61618	0	0.0	0.0	XCA_036
Gordonia_rubripertincta_58506	0	0.0	0.0	XCA_036
Geobacillus_sp_60191	0	0.0	0.0	XCA_036
Sporocytophaga_myxococcoides_62522	0	0.0	0.0	XCA_036
Novosphingobium_subterraneum_61634	0	0.0	0.0	XCA_036
Xanthomonas_translucens_57878	0	0.0	0.0	XCA_036
Rhizobium_giardinii_58412	0	0.0	0.0	XCA_036
Thermomicrobium_roseum_61173	0	0.0	0.0	XCA_036
Chryseobacterium_sp_60748	0	0.0	0.0	XCA_036
Alteromonas_sp_60016	0	0.0	0.0	XCA_036
Chryseobacterium_sp_60744	0	0.0	0.0	XCA_036
Chryseobacterium_sp_60745	0	0.0	0.0	XCA_036
Chryseobacterium_sp_60746	0	0.0	0.0	XCA_036
Mycobacterium_kansasii_55037	0	0.0	0.0	XCA_036
Chryseobacterium_sp_60742	0	0.0	0.0	XCA_036
Neisseria_mucosa_61504	0	0.0	0.0	XCA_036
Bacteroides_pyogenes_58220	0	0.0	0.0	XCA_036
Amycolatopsis_rifamycinica_61125	0	0.0	0.0	XCA_036
Kingella_kingae_56809	0	0.0	0.0	XCA_036
Lentzea_albidocapillata_61465	0	0.0	0.0	XCA_036
Allofustis_seminis_58693	0	0.0	0.0	XCA_036
