Family subject avg_mix_log10_ratio recipient_fam_relAbundance_day_029 recipient_fam_relAbundance_day_036 recipient_ratio recipient_log10_ratio
Enterococcaceae XLA -0.06967420097562198 0.12598153933879 0.1025614182021217 1.2283521576360554 0.08932289302071723
Enterococcaceae XSA 3.043698912020572 0.17729007381584347 1e-4 1772.9007381584347 3.248684420836772
Erysipelatoclostridiaceae XCA 2.0686194117954555 0.00259046736951787 1e-4 25.904673695178698 1.4133781261241694
Erysipelatoclostridiaceae XDA -1.4106143489538099 0.00368109832850326 0.275781163740753 0.013347896131019528 -1.8745871815423103
Erysipelatoclostridiaceae XEA 1.837152980371037 1e-4 1e-4 1e-4 1e-4
Erysipelatoclostridiaceae XFA 2.0194313055655124 0.00250737967426859 1e-4 25.073796742685897 1.399220100992544
Erysipelatoclostridiaceae XGA 1.9144597663574952 0.0330575432319618 1e-4 330.57543231961796 2.5192705745697155
Erysipelatoclostridiaceae XLA 0.06443876981982452 0.00700887394718398 0.00881141820212172 0.7954308587346698 -0.09939756457178689
Erysipelatoclostridiaceae XSA -0.29571020089199007 0.03783227033236934 0.0308289652494661 1.2271664010203691 0.08890345608078015
Erysipelotrichaceae XCA 1.905143719890987 0.00644722465430286 1e-4 64.47224654302859 1.80937280351717
Erysipelotrichaceae XDA 0.7104145838559215 0.00245894441029244 0.00245666335431158 1.0009285179334224 4.030631181116508e-4
Erysipelotrichaceae XEA 1.737108103385694 0.00506293064576098 1e-4 50.62930645760979 1.7044019782717705
Erysipelotrichaceae XFA 2.0098200177135284 0.0042625454462566 1e-4 42.625454462566 1.6296690223708177
Erysipelotrichaceae XGA 2.0671916879967718 0.0126900715563506 1e-4 126.900715563506 2.1034640709867927
Erysipelotrichaceae XJA 1.774731022967151 0.00108991825613079 1e-4 10.8991825613079 1.037393927075873
Erysipelotrichaceae XLA 1.8356562510682333 0.00216205942099574 1e-4 21.6205942099574 1.3348676257208685
Erysipelotrichaceae XSA -0.5332405037866568 0.00664210540215769 0.0198990487284023 0.33379009684404076 -0.47652655246739817
Ethanoligenenaceae XCA 1.1989923392558108 1e-4 1e-4 1e-4 1e-4
Ethanoligenenaceae XDA 1.1434586544140997 1e-4 1e-4 1e-4 1e-4
Ethanoligenenaceae XEA 1.3381444855920848 1e-4 1e-4 1e-4 1e-4
Ethanoligenenaceae XFA 1.3554025907200915 0.00160700242759941 1e-4 16.0700242759941 1.2060165328257164
Ethanoligenenaceae XGA 1.3525439358049978 1e-4 1e-4 1e-4 1e-4
Ethanoligenenaceae XJA 1.1545711949416488 1e-4 1e-4 1e-4 1e-4
Ethanoligenenaceae XLA 1.009119574552708 1e-4 1e-4 1e-4 1e-4
Ethanoligenenaceae XSA 1.3394454220732177 1e-4 1e-4 1e-4 1e-4
Eubacteriaceae XCA 2.072329743865902 1e-4 1e-4 1e-4 1e-4
Eubacteriaceae XDA 2.4511401765160223 1e-4 1e-4 1e-4 1e-4
Eubacteriaceae XEA 2.4395348156116468 1e-4 1e-4 1e-4 1e-4
Eubacteriaceae XFA 2.2729886793548566 1e-4 1e-4 1e-4 1e-4
Eubacteriaceae XGA 1.9763925552881902 1e-4 1e-4 1e-4 1e-4
Eubacteriaceae XJA 2.2095848594064513 1e-4 1e-4 1e-4 1e-4
