filename,sample,group,round2plate,round1index,metadata
16S-A-A3-L4,AME0062-A03,eACE010-eAME212,A,4,XDB-029+XDA-036
16S-A-B3-L4,AME0062-B03,eACE010-eAME213,A,4,XDB-029+XEA-036
16S-A-C3-L4,AME0062-C03,eACE010-eAME214,A,4,XDB-029+XFA-036
16S-A-D3-L4,AME0062-D03,eACE010-eAME215,A,4,XDB-029+XCA-036
16S-A-E3-L4,AME0062-E03,eACE010-eAME216,A,4,XDB-029+XSA-036
16S-A-F3-L4,AME0062-F03,eACE010-eAME217,A,4,XDB-029+XJA-036
16S-A-G3-L4,AME0062-G03,eACE010-eAME218,A,4,XDB-029+XGA-036
16S-A-H3-L4,AME0062-H03,eACE010-eAME219,A,4,XDB-029+XLA-036
16S-A-A4-L4,AME0062-A04,eACE010-eAME220,A,4,XEB-029+XDA-036
16S-A-B4-L4,AME0062-B04,eACE010-eAME221,A,4,XEB-029+XEA-036
16S-A-C4-L4,AME0062-C04,eACE010-eAME222,A,4,XEB-029+XFA-036
16S-A-D4-L4,AME0062-D04,eACE010-eAME223,A,4,XEB-029+XCA-036
16S-A-E4-L4,AME0062-E04,eACE010-eAME224,A,4,XEB-029+XSA-036
16S-A-F4-L4,AME0062-F04,eACE010-eAME225,A,4,XEB-029+XJA-036
16S-A-G4-L4,AME0062-G04,eACE010-eAME226,A,4,XEB-029+XGA-036
16S-A-H4-L4,AME0062-H04,eACE010-eAME227,A,4,XEB-029+XLA-036
16S-A-A5-L4,AME0062-A05,eACE010-eAME228,A,4,XFB-029+XDA-036
16S-A-B5-L4,AME0062-B05,eACE010-eAME229,A,4,XFB-029+XEA-036
16S-A-C5-L4,AME0062-C05,eACE010-eAME230,A,4,XFB-029+XFA-036
16S-A-D5-L4,AME0062-D05,eACE010-eAME231,A,4,XFB-029+XCA-036
16S-A-E5-L4,AME0062-E05,eACE010-eAME232,A,4,XFB-029+XSA-036
16S-A-F5-L4,AME0062-F05,eACE010-eAME233,A,4,XFB-029+XJA-036
16S-A-G5-L4,AME0062-G05,eACE010-eAME234,A,4,XFB-029+XGA-036
16S-A-H5-L4,AME0062-H05,eACE010-eAME235,A,4,XFB-029+XLA-036
16S-A-A6-L4,AME0062-A06,eACE010-eAME236,A,4,XGB-029+XDA-036
16S-A-B6-L4,AME0062-B06,eACE010-eAME237,A,4,XGB-029+XEA-036
16S-A-C6-L4,AME0062-C06,eACE010-eAME238,A,4,XGB-029+XFA-036
16S-A-D6-L4,AME0062-D06,eACE010-eAME239,A,4,XGB-029+XCA-036
16S-A-E6-L4,AME0062-E06,eACE010-eAME240,A,4,XGB-029+XSA-036
16S-A-F6-L4,AME0062-F06,eACE010-eAME241,A,4,XGB-029+XJA-036
16S-A-G6-L4,AME0062-G06,eACE010-eAME242,A,4,XGB-029+XGA-036
16S-A-H6-L4,AME0062-H06,eACE010-eAME243,A,4,XGB-029+XLA-036
