sample alphaStat value
X16S-B-A5-L6_e0026-B-8-A5 Shannon 3.1962895227072123
X16S-B-A5-L6_e0026-B-8-A5 Simpson 0.9162491028698863
X16S-B-A5-L6_e0026-B-8-A5 InvSimpson 11.94017060433895
X16S-B-A5-L6_e0026-B-8-A5 Fisher 14.126822264855518
X16S-B-A5-L6_e0026-B-8-A5 ShannonEffectiveSpecies 24.441671469743227
X16S-B-A5-L7_e0026-mix-A5 Observed 151
X16S-B-A5-L7_e0026-mix-A5 Chao1 151
X16S-B-A5-L7_e0026-mix-A5 se.chao1 0.16611387354627385
X16S-B-A5-L7_e0026-mix-A5 ACE 151.23599563282102
X16S-B-A5-L7_e0026-mix-A5 se.ACE 4.229226642053506
X16S-B-A5-L7_e0026-mix-A5 Shannon 3.5345358419109614
X16S-B-A5-L7_e0026-mix-A5 Simpson 0.9476690550996334
X16S-B-A5-L7_e0026-mix-A5 InvSimpson 19.109152374449007
X16S-B-A5-L7_e0026-mix-A5 Fisher 17.51154250352399
X16S-B-A5-L7_e0026-mix-A5 ShannonEffectiveSpecies 34.27910009946985
X16S-B-A6-L3_e0026-A-0-A6 Observed 224
